食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
04-5-324,45324,莴笋[莴苣],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,62,95.5,14,59,1.0,0.1,2.8,0.6,—,0.6,25,150,—,0.02,0.02,0.5,4,0.19,0.08,0.08,0.03,23,48,212,36.5,19,0.9,0.33,0.54,0.07,0.19
04-5-326,45326,蕹菜[空心菜，藤藤菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,76,92.9,20,84,2.2,0.3,3.6,1.4,—,1.0,253,1520,—,0.03,0.08,0.8,25,1.09,0.31,0.19,0.59,99,38,243,94.3,29,2.3,0.39,1.20,0.10,0.67
04-5-401,45401,竹笋,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,63,92.8,19,79,2.6,0.2,3.6,1.8,—,0.8,—,—,—,0.08,0.08,0.6,5,0.05,0.03,0.02,…,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14
04-5-402,45402,白笋(干),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,64,10.0,196,820,26.0,4.0,57.1,43.2,—,2.9,2,10,—,…,0.32,0.2,…,—,—,—,—,31,222,1754,0.7,22,4.2,3.30,2.34,1.94,2.20
04-5-403,45403,鞭笋[马鞭笋],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,45,90.1,11,46,2.6,…,6.7,6.6,—,0.6,—,—,—,0.05,0.09,0.5,7,—,—,—,—,17,49,379,4.6,13,2.5,0.64,0.44,0.08,0.69
04-5-404,45404,春笋,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,66,91.4,20,84,2.4,0.1,5.1,2.8,—,1.0,5,30,—,0.05,0.04,0.4,5,—,—,—,—,8,36,300,6.0,8,2.4,0.43,0.66,0.15,0.78
04-5-405,45405,冬笋,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,39,88.1,40,167,4.1,0.1,6.5,0.8,—,1.2,13,80,—,0.08,0.08,0.6,1,—,—,—,—,22,56,—,—,—,0.1,—,—,—,—
04-5-406,45406,黑笋(干),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,76,14.4,213,891,17.6,2.4,57.5,27.2,—,8.1,—,—,—,…,0.41,1.9,…,—,—,—,—,30,426,115,6.2,82,18.9,7.60,4.20,1.30,5.43
04-5-407,45407,毛笋[毛竹笋],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,67,93.1,21,88,2.2,0.2,3.8,1.3,—,0.7,—,—,—,0.04,0.05,0.3,9,0.15,0.15,…,…,16,34,318,5.2,8,0.9,0.47,0.38,0.07,0.35
04-5-408,45408,玉兰片,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,100,78.0,43,180,2.6,0.4,18.6,11.3,—,0.4,—,—,—,0.04,0.07,0.1,1,2.24,1.23,1.01,0,42,29,66,1.9,5,3.6,0.23,—,0.04,0.54
04-5-409,45409,百合,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,82,56.7,162,678,3.2,0.1,38.8,1.7,—,1.2,—,—,—,0.02,0.04,0.7,18,—,—,—,—,11,61,510,6.7,43,1.0,0.50,0.20,0.24,0.35
04-5-410,45410,百合(干),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,F,100,10.3,343,1435,6.7,0.5,79.5,1.7,—,3.0,—,—,—,0.05,0.09,0.9,—,—,—,—,—,32,92,344,37.3,42,5.9,1.31,2.29,1.09,0.59
04-5-412,45412,金针菜[黄花菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,98,40.3,199,833,19.4,1.4,34.9,7.7,—,4.0,307,1840,—,0.05,0.21,3.1,10,4.92,3.56,1.36,…,301,216,610,59.2,85,8.1,3.99,4.22,0.37,1.21
04-5-414,45414,芦笋[石刁柏，龙须菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,90,93.0,19,79,1.4,0.1,4.9,1.9,—,0.6,17,100,—,0.04,0.05,0.7,45,—,—,—,—,10,42,213,3.1,10,1.4,0.41,0.21,0.07,0.17
04-6-001,46001,慈菇[乌芋，白地果],4,蔬菜类及其制品,6,水生蔬菜类,,,89,73.6,94,393,4.6,0.2,19.9,1.4,—,1.7,—,—,—,0.14,0.07,1.6,4,2.16,2.16,…,…,14,157,707,39.1,24,2.2,0.99,0.92,0.22,0.39
04-6-002,46002,豆瓣菜[西洋菜，水田芥],4,蔬菜类及其制品,6,水生蔬菜类,A,,73,94.5,17,71,2.9,0.5,1.5,1.2,—,0.6,1592,9550,—,0.01,0.11,0.3,52,0.59,0.59,…,…,30,26,179,61.2,9,1.0,0.69,0.70,0.06,0.25
04-6-003,46003,菱角(老)[龙角],4,蔬菜类及其制品,6,水生蔬菜类,,,57,73.0,98,410,4.5,0.1,21.4,1.7,—,1.0,2,10,—,0.19,0.06,1.5,13,—,—,—,—,7,93,437,5.8,49,0.6,0.62,—,0.18,0.38
04-6-004,46004,藕[莲藕],4,蔬菜类及其制品,6,水生蔬菜类,A,,88,80.5,70,293,1.9,0.2,16.4,1.2,—,1.0,3,20,—,0.09,0.03,0.3,44,0.73,0.21,0.23,0.29,39,58,243,44.2,19,1.4,0.23,0.39,0.11,1.30
04-6-006,46006,水芹菜,4,蔬菜类及其制品,6,水生蔬菜类,A,,60,96.2,11,46,1.4,0.2,1.8,0.9,—,0.4,63,380,—,0.01,0.19,1.0,5,0.32,0.10,0.22,…,38,32,212,40.9,16,6.9,0.38,0.81,0.10,0.79
04-6-007,46007,茭白[茭笋，茭粑],4,蔬菜类及其制品,6,水生蔬菜类,A,,74,92.2,23,96,1.2,0.2,5.9,1.9,—,0.5,5,30,—,0.02,0.03,0.5,5,0.99,0.99,…,…,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49
04-6-008,46008,荸荠[马蹄，地栗],4,蔬菜类及其制品,6,水生蔬菜类,A,,78,83.6,59,247,1.2,0.2,14.2,1.1,—,0.8,3,20,—,0.02,0.02,0.7,7,0.65,0.15,0.28,0.22,4,44,306,15.7,12,0.6,0.34,0.70,0.07,0.11
04-6-009,46009,莼菜(瓶装)[花案菜],4,蔬菜类及其制品,6,水生蔬菜类,A,,100,94.5,20,84,1.4,0.1,3.8,0.5,—,0.2,55,330,—,…,0.01,0.1,…,0.90,0.84,0.06,…,42,17,2,7.9,3,2.4,0.67,0.67,0.04,0.26
04-7-102,47102,豆薯[凉薯，地瓜，沙葛],4,蔬菜类及其制品,7,薯芋类,,,91,85.2,55,230,0.9,0.1,13.4,0.8,—,0.4,—,—,—,0.03,0.03,0.3,13,0.86,0.32,0.45,0.09,21,24,111,5.5,14,0.6,0.23,0.16,0.07,0.11
04-7-103,47103,葛[葛署，粉葛],4,蔬菜类及其制品,7,薯芋类,,,90,60.1,145,607,2.2,0.2,36.1,2.4,—,1.4,—,—,—,0.09,0.05,—,24,—,—,—,—,—,48,…,—,—,1.3,—,1.22,—,0.20
04-7-104,47104,山药[薯蓣，大薯],4,蔬菜类及其制品,7,薯芋类,A,,83,84.8,56,234,1.9,0.2,12.4,0.8,—,0.7,3,20,—,0.05,0.02,0.3,5,0.24,0.24,…,…,16,34,213,18.6,20,0.3,0.27,0.55,0.24,0.12
04-7-201,47201,芋头[芋艿，毛芋],4,蔬菜类及其制品,7,薯芋类,A,,84,78.6,79,331,2.2,0.2,18.1,1.0,—,0.9,27,160,—,0.06,0.05,0.7,6,0.45,0.45,…,…,36,55,378,33.1,23,1.0,0.49,1.45,0.37,0.30
04-7-301,47301,姜[黄姜],4,蔬菜类及其制品,7,薯芋类,A,,95,87.0,41,172,1.3,0.6,10.3,2.7,—,0.8,28,170,—,0.02,0.03,0.8,4,—,—,—,—,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.20
04-8-018,48018,地肤[益明，扫帚苗],4,蔬菜类及其制品,8,野生蔬菜类,,,100,79.0,61,255,5.2,0.8,10.4,2.2,—,4.6,953,5720,—,0.15,0.31,1.6,39,—,—,—,—,281,66,702,62.4,118,6.5,0.52,—,0.25,0.42
04-8-019,48019,地笋[地古牛，地瓜儿苗叶],4,蔬菜类及其制品,8,野生蔬菜类,,,100,79.0,60,251,4.3,0.7,13.7,4.7,—,2.3,1055,6330,—,0.04,0.25,1.4,7,—,—,—,—,297,62,416,—,25,4.4,0.93,—,0.43,0.26
04-8-028,48028,苦苦菜,4,蔬菜类及其制品,8,野生蔬菜类,,,100,88.2,38,159,2.5,0.9,6.8,1.8,—,1.6,357,2140,—,—,—,—,62,—,—,—,—,—,—,—,—,—,—,—,—,—,—
04-8-032,48032,马兰头[马兰，鸡儿肠，路边菊],4,蔬菜类及其制品,8,野生蔬菜类,A,,100,91.4,25,105,2.4,0.4,4.6,1.6,—,1.2,340,2040,—,0.06,0.13,0.8,26,0.72,0.72,…,…,67,38,285,15.2,14,2.4,0.87,0.75,0.13,0.44
