食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
02-2-105,22105,藕粉,2,薯类、淀粉及制品,2,淀粉类,,,100,6.4,372,1556,0.2,…,93.0,0.1,—,0.4,—,—,—,…,0.01,0.4,—,—,—,—,—,8,9,35,10.8,2,17.9,0.15,2.10,0.22,0.28
02-2-106,22106,桂花藕粉,2,薯类、淀粉及制品,2,淀粉类,A,,100,13.6,344,1439,0.4,0.1,85.3,…,—,0.6,—,—,—,Tr,0.01,0.2,—,—,—,—,—,36,13,14,6.5,5,20.8,0.23,0.39,0.05,0.34
02-2-107,22107,魔芋精粉[鬼芋粉，南星粉],2,薯类、淀粉及制品,2,淀粉类,,F,100,12.2,37,155,4.6,0.1,78.8,74.4,—,4.3,—,—,—,Tr,0.10,0.4,—,—,—,—,—,45,272,299,49.9,66,1.6,2.05,350.15,0.17,0.88
02-2-201,22201,粉丝,2,薯类、淀粉及制品,2,淀粉类,,,100,15.0,335,1402,0.8,0.2,83.7,1.1,—,0.3,—,—,—,0.03,0.02,0.4,—,—,—,—,—,31,16,18,9.3,11,6.4,0.27,3.39,0.05,0.15
02-2-202,22202,豌豆粉丝,2,薯类、淀粉及制品,2,淀粉类,,,100,7.7,367,1536,0.4,…,91.7,0.3,—,0.2,—,—,—,0.02,…,…,—,—,—,—,—,10,9,6,5.0,4,3.5,0.32,…,0.05,0.09
02-2-203,22203,粉条,2,薯类、淀粉及制品,2,淀粉类,,,100,14.3,337,1410,0.5,0.1,84.2,0.6,—,0.9,—,—,—,0.01,…,0.1,—,—,—,—,—,35,23,18,9.6,11,5.2,0.83,2.18,0.18,0.16
03-1-101,31101,黄豆[大豆],3,干豆类及制品,1,大豆,A,F,100,10.2,359,1502,35.0,16.0,34.2,15.5,—,4.6,37,220,—,0.41,0.20,2.1,—,18.90,0.90,13.39,4.61,191,465,1503,2.2,199,8.2,3.34,6.16,1.35,2.26
03-1-201,31201,黄豆粉,3,干豆类及制品,1,大豆,A,F,100,6.7,418,1749,32.7,18.3,37.6,7.0,—,4.7,63,380,—,0.31,0.22,2.5,—,33.69,…,20.44,13.25,207,395,1890,3.6,129,8.1,3.89,2.47,1.39,2.00
03-1-202,31202,豆腐花[豆腐粉],3,干豆类及制品,1,大豆,,F,100,1.6,401,1678,10.0,2.6,84.3,…,—,1.5,42,250,—,0.02,0.03,0.4,—,5.00,…,2.65,2.35,175,95,339,…,60,3.3,0.75,1.70,0.28,0.52
03-1-205,31205,豆粕(膨化)[大豆蛋白],3,干豆类及制品,1,大豆,A,,100,9.3,321,1343,36.6,0.7,48.0,5.9,—,5.4,—,—,—,…,0.11,5.8,—,1.14,…,0.62,0.52,144,161,950,3.3,60,9.8,3.17,2.78,1.23,1.78
03-1-302,31302,豆腐(北),3,干豆类及制品,1,大豆,A,F,100,80.0,98,410,12.2,4.8,2.0,0.5,—,1.0,5,30,—,0.05,0.03,0.3,—,6.70,…,2.78,3.92,138,158,106,7.3,63,2.5,0.63,1.55,0.22,0.69
